Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
Mönchengladbach,Bayern Munich,1,1,1,1,2.3,2.6
Stuttgart,Greuther Fürth,5,1,5,1,3.1,1.2
Dortmund,Eintracht Frankfurt,5,2,5,1,2.7,1.4
Union Berlin,Bayer Leverkusen,1,1,1,1,0.5,0.8
Arminia,Freiburg,0,0,0,0,0.4,1.6
Augsburg,Hoffenheim,0,4,0,4,0.6,3.8
Wolfsburg,Bochum,1,0,1,0,2.5,0.4
Mainz 05,RB Leipzig,1,0,0,0,1.2,1.1
Köln,Hertha BSC,3,1,3,1,1.6,1.9
RB Leipzig,Stuttgart,4,0,1,0,3.8,1.1
Hertha BSC,Wolfsburg,1,2,0,2,1.2,1.0
Eintracht Frankfurt,Augsburg,0,0,0,0,1.6,0.3
Bochum,Mainz 05,2,0,2,0,0.8,0.9
Freiburg,Dortmund,2,1,1,0,1.3,1.6
Bayer Leverkusen,Mönchengladbach,4,0,3,0,1.9,1.7
Greuther Fürth,Arminia,1,1,0,1,2.6,0.8
Hoffenheim,Union Berlin,2,2,2,0,1.0,1.8
Bayern Munich,Köln,3,2,2,2,2.7,1.1
Dortmund,Hoffenheim,3,2,1,2,3.5,2.3
Bayern Munich,Hertha BSC,5,0,4,0,2.9,0.4
Stuttgart,Freiburg,2,3,2,2,1.8,1.3
Köln,Bochum,2,1,2,1,3.2,0.6
Augsburg,Bayer Leverkusen,1,4,0,2,1.8,2.0
Arminia,Eintracht Frankfurt,1,1,1,1,0.6,1.5
Mainz 05,Greuther Fürth,3,0,3,0,2.8,0.2
Wolfsburg,RB Leipzig,1,0,0,0,0.8,1.2
Union Berlin,Mönchengladbach,2,1,2,0,1.9,1.9
Hoffenheim,Mainz 05,0,2,0,2,0.7,0.9
RB Leipzig,Bayern Munich,1,4,1,3,0.5,4.0
Freiburg,Köln,1,1,0,1,0.8,1.1
Greuther Fürth,Wolfsburg,0,2,0,1,0.3,1.4
Bayer Leverkusen,Dortmund,3,4,2,2,0.7,1.9
Union Berlin,Augsburg,0,0,0,0,1.0,1.0
Eintracht Frankfurt,Stuttgart,1,1,1,0,1.1,0.9
Bochum,Hertha BSC,1,3,0,2,1.2,0.3
Mönchengladbach,Arminia,3,1,3,0,1.7,1.8
Hertha BSC,Greuther Fürth,2,1,1,0,0.7,1.4
Augsburg,Mönchengladbach,1,0,1,0,0.3,0.6
Arminia,Hoffenheim,0,0,0,0,1.3,1.1
Köln,RB Leipzig,1,1,0,1,1.8,2.8
Mainz 05,Freiburg,0,0,0,0,1.0,0.4
Bayern Munich,Bochum,7,0,3,0,5.8,0.4
Stuttgart,Bayer Leverkusen,1,3,0,2,1.6,1.4
Dortmund,Union Berlin,4,2,2,1,0.9,1.7
Wolfsburg,Eintracht Frankfurt,1,1,0,1,1.2,0.3
Greuther Fürth,Bayern Munich,1,3,1,1,0.7,0.8
Bayer Leverkusen,Mainz 05,1,0,1,0,1.5,0.9
Eintracht Frankfurt,Köln,1,1,1,1,1.0,0.9
Hoffenheim,Wolfsburg,3,1,1,1,1.5,0.6
RB Leipzig,Hertha BSC,6,0,4,0,3.8,0.2
Mönchengladbach,Dortmund,1,0,0,0,1.6,0.4
Union Berlin,Arminia,1,0,1,0,1.2,0.5
Bochum,Stuttgart,0,0,0,0,0.8,0.3
Freiburg,Augsburg,3,0,1,0,3.2,0.2
Köln,Greuther Fürth,3,1,3,1,2.9,1.3
Hertha BSC,Freiburg,1,2,1,1,1.1,0.7
Dortmund,Augsburg,2,1,1,0,3.1,0.8
Stuttgart,Hoffenheim,3,1,2,1,0.8,1.0
Wolfsburg,Mönchengladbach,1,3,0,3,1.4,3.3
RB Leipzig,Bochum,3,0,3,0,3.2,1.5
Bayern Munich,Eintracht Frankfurt,1,2,1,2,2.2,0.8
Mainz 05,Union Berlin,1,2,1,2,1.1,1.4
Arminia,Bayer Leverkusen,0,4,0,2,0.4,3.1
Hoffenheim,Köln,5,0,3,0,3.7,0.7
Freiburg,RB Leipzig,1,1,1,0,1.4,1.8
Greuther Fürth,Bochum,0,1,0,1,0.8,1.6
Eintracht Frankfurt,Hertha BSC,1,2,0,2,1.6,1.8
Dortmund,Mainz 05,3,1,1,1,2.4,0.8
Union Berlin,Wolfsburg,2,0,2,0,0.9,1.5
Mönchengladbach,Stuttgart,1,1,0,1,2.6,0.3
Augsburg,Arminia,1,1,1,0,0.6,0.3
Bayer Leverkusen,Bayern Munich,1,5,1,5,0.7,3.3
Mainz 05,Augsburg,4,1,4,1,3.7,0.9
Hertha BSC,Mönchengladbach,1,0,0,0,1.0,0.5
Wolfsburg,Freiburg,0,2,0,1,1.3,1.5
Arminia,Dortmund,1,3,0,1,1.4,2.4
Bayern Munich,Hoffenheim,4,0,4,0,2.8,0.8
RB Leipzig,Greuther Fürth,4,1,2,0,2.3,1.4
Stuttgart,Union Berlin,1,1,1,1,0.5,1.0
Bochum,Eintracht Frankfurt,2,0,1,0,2.2,1.6
Köln,Bayer Leverkusen,2,2,2,1,1.8,1.0
Hoffenheim,Hertha BSC,2,0,0,0,0.9,0.3
Dortmund,Köln,2,0,2,0,1.4,1.3
